NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
3078731,1,9792.0,27360.0,2175.999999999996,2000.0000000000002,9120.0,10052.0,468.0,272.0,720.0,3.9999999999999964,2200.0,108.0,240.0,0.0,0.0,0.0
3078803,1,8465.0,15434.799999999997,2547.999999999996,519.9999999999995,3900.0,0.0,1912.0,0.0,3088.0,2426.8,0.0,1040.0000000000005,0.0,0.0,0.0,0.0
3079682,1,6986.8,26692.0,3012.0,2211.999999999996,5808.0,1952.000000000004,4968.0,0.0,5800.0,1944.0,996.0,0.0,0.0,0.0,0.0,2200.0
3082542,2,19487.0,14263.999999999996,1299.999999999996,519.9999999999995,6300.0,1068.0,2780.0,44.000000000000036,240.0,480.0,1532.0,0.0,0.0,0.0,0.0,0.0
3083612,3,25320.0,34566.799999999996,5520.000000000001,2080.0000000000005,2820.0,5955.999999999999,5112.0,192.0,6912.000000000002,4462.799999999999,1272.0,240.0,0.0,0.0,0.0,824.0
3084352,3,23532.0,21476.799999999996,2079.999999999996,780.0,6216.0,2177.9999999999995,2896.0,720.0,480.0,3094.7999999999997,2232.0,0.0,800.0,0.0,0.0,3796.0
3086351,3,26505.4,22522.800000000003,3680.0000000000036,1887.999999999996,4428.0,3420.000000000004,1688.0,2880.0,1120.0,1306.8000000000002,2112.0,0.0,0.0,0.0,0.0,2232.0
3086861,1,3000.0,49254.8,2060.000000000004,260.0000000000004,16199.999999999996,4740.000000000004,6132.0,1172.0000000000002,2192.0,7378.799999999999,4960.0,0.0,4160.0,0.0,0.0,15775.999999999996
3087833,3,20963.0,17470.799999999996,1299.9999999999998,3120.0,4800.0,80.0,3820.0,79.99999999999997,1200.0,1498.8000000000002,1200.0,72.0,300.0,0.0,0.0,0.0
3087874,4,30504.0,27614.8,1664.000000000004,583.9999999999995,13552.0,820.0,2980.0,200.00000000000006,1156.0,4570.8,888.0,1200.0,0.0,0.0,0.0,0.0
2815515,3,22439.0,18006.8,3120.000000000003,1040.0000000000005,7272.0,0.0,360.0,360.0,36.0,2218.8,0.0,0.0,3600.0,0.0,0.0,0.0
2817485,2,11363.0,23262.8,4167.999999999999,604.0000000000007,9816.0,2000.0,2064.0,800.0,48.0,2710.7999999999997,1052.0,0.0,0.0,0.0,0.0,0.0
